Stock 1,Stock 2,Beta,ADF stat,Crit value,Half life
CINF,NDAQ,0.5666111621213239,-6.471232674784191,-3.4566744514553016,2.457970458601977
PKG,SPG,0.5593252825865076,-5.338902665534173,-3.4566744514553016,3.3914370802830733
CINF,KEY,0.11268588223208309,-5.28944423005477,-3.4566744514553016,3.5809687893616458
DGX,PNW,0.691014887510363,-5.227179749018544,-3.4566744514553016,3.815694803792276
AEE,ALL,1.8168533425108107,-5.1489648634352605,-3.4566744514553016,4.927040857888783
CVNA,ZBRA,0.715259763974947,-5.0907678837492085,-3.4566744514553016,3.629267314473916
CFG,TFC,0.7581328108051684,-5.076677673897426,-3.4566744514553016,3.6113836218928776
FFIV,NOW,0.8561642492808152,-5.0495324124382,-3.4566744514553016,3.8609201775658586
APP,COF,0.18010385623198383,-5.001779690291648,-3.4566744514553016,3.7499913979906685
CAT,HUBB,1.1802188140984868,-5.000639394916689,-3.4566744514553016,3.7788932047886514
ALL,NDAQ,0.5075647474668578,-4.993084135042063,-3.4566744514553016,4.175671540697396
CINF,RF,0.17512676708484998,-4.9803158513036605,-3.4566744514553016,4.18532037630666
CINF,PKG,1.6555159688024472,-4.947706637197703,-3.456780859712,4.20095576120932
AXP,ZBRA,1.4309581840552776,-4.918880843151297,-3.4566744514553016,4.0706117598545
DLR,SYF,0.5133514894779231,-4.901347435953733,-3.4566744514553016,3.8514534534762195
MS,RCL,2.5758722182654332,-4.821806739306241,-3.4566744514553016,4.341338920605439
AVB,DGX,0.5570148702976392,-4.821321856423785,-3.4566744514553016,4.2055510923445825
ISRG,LII,1.1316433924618747,-4.818126730602164,-3.4566744514553016,4.152467726388775
CFG,MO,1.0661029789624061,-4.81096999496167,-3.4566744514553016,4.104254650512033
DLR,RCL,2.2408262680606432,-4.810408639392092,-3.4566744514553016,4.021362375285434
BK,T,0.26129677154767694,-4.807722899012919,-3.4566744514553016,4.181198040826189
GWW,TRV,0.18535643045390643,-4.782620791368182,-3.4566744514553016,4.066513451490785
EME,PWR,0.481422603678156,-4.749457008764748,-3.4566744514553016,4.411401257669717
CVNA,TTD,0.285566042435651,-4.735333315584725,-3.4566744514553016,4.21656469925804
AEE,NDAQ,0.98499492184834,-4.731514976560332,-3.4566744514553016,4.528239228747107
HWM,ZBRA,2.378350431719542,-4.686718023831632,-3.4566744514553016,4.404206213410995
FICO,T,0.006268140062039087,-4.682368433226651,-3.457215237265747,4.77961830591707
BSX,TTD,1.980211239715766,-4.679014854760489,-3.4566744514553016,4.405497571741094
CRH,PH,6.980702507012623,-4.667662494602639,-3.4566744514553016,4.297655669653174
CMI,FIX,1.890668213453645,-4.639944340984952,-3.4566744514553016,4.439661683954017
FFIV,FTNT,0.4222916727759364,-4.633293150875558,-3.457437824930831,4.762731011674887
RCL,SYF,0.2276169500502792,-4.625148091410609,-3.4566744514553016,4.353677579447178
DUK,MMM,2.2284131596022023,-4.602103895451175,-3.4569962781990573,4.9841348512169
HOOD,NFLX,1.3941038355633757,-4.601256550308006,-3.4566744514553016,4.827136692077104
ADP,PAYX,0.40438952848440524,-4.592312353722947,-3.4566744514553016,4.4420243452759935
PM,TYL,4.903764857147413,-4.573783607018247,-3.4569962781990573,4.714834695429986
CPT,DUK,0.7884402893704295,-4.5637201091709585,-3.457105309726321,5.782526278717494
DGX,MO,0.453167950347026,-4.55106706371962,-3.457105309726321,4.910613888202391
CINF,PNC,1.3556838996481455,-4.543029382760785,-3.4566744514553016,5.018073668116673
CINF,OKE,0.8045705597484034,-4.540948251373654,-3.4566744514553016,4.550475576985186
MAA,PM,1.0877059091583368,-4.524794234521469,-3.4569962781990573,6.57552390941858
BX,FISV,1.0608306190701264,-4.504258360211187,-3.4566744514553016,5.488970500673581
MMM,UDR,0.1634617763991627,-4.502613784952842,-3.4569962781990573,6.018855849768293
FISV,KEY,0.06637867785130709,-4.49623637844471,-3.4566744514553016,4.6186066379700215
JPM,L,0.1691078981596077,-4.495786277442025,-3.4566744514553016,4.656520106937317
BX,USB,0.16854822651506643,-4.4914032582332055,-3.457437824930831,5.935264273299001
ADP,CBRE,0.7699655966952733,-4.477112886405397,-3.4566744514553016,5.0892745007180284
JCI,TTD,2.0722051129482595,-4.47168771763069,-3.4566744514553016,4.65950529721805
DASH,MA,1.2831704913194832,-4.468840004309141,-3.4566744514553016,4.697288368122649
BK,PAYX,0.9985694575911295,-4.466429545892208,-3.4568881317725864,5.845974333853109
BSX,ZBRA,4.891088768307939,-4.4576640849802285,-3.4566744514553016,5.15763387926427
ETR,PAYX,1.0150909481304584,-4.446661661877227,-3.4566744514553016,4.646884262762629
DGX,ESS,2.1877060102965222,-4.438048704919709,-3.4566744514553016,4.933652093830835
MTB,TPL,3.796113892548505,-4.428429970976131,-3.4566744514553016,4.748710815146827
DVA,HIG,0.6237394562426957,-4.425246823706095,-3.4568881317725864,4.0971060486801
CBRE,PAYX,0.48978137754964557,-4.42389897015178,-3.4566744514553016,5.048210731425746
BX,DLR,0.7066665256616549,-4.420916183134304,-3.4566744514553016,5.058593661437079
APO,COF,0.7354042976348325,-4.417170370757782,-3.4566744514553016,4.936532156671467
MAA,MCO,3.096022540730229,-4.410736733361881,-3.456780859712,5.3712053441701615
GLW,LII,10.525513410232863,-4.383790198879443,-3.4566744514553016,4.780262444128271
BK,SPG,1.4795135054630462,-4.383498581892403,-3.4566744514553016,4.852533913341084
FISV,PAYX,0.379716100084035,-4.382609258602237,-3.4566744514553016,4.8298618188988645
CPT,EQR,0.5268489806968899,-4.378359649805937,-3.457105309726321,5.836806761381255
KEY,PKG,13.74249508802767,-4.371818815890844,-3.4566744514553016,5.084335920105024
PWR,VST,0.8526578423012199,-4.361244626176572,-3.4566744514553016,4.809682060395233
PAYX,SPG,1.392070122113918,-4.35712153431429,-3.4566744514553016,4.892198659076247
JPM,ZBRA,2.057681439560673,-4.354213434817437,-3.4566744514553016,4.935479971031015
SPG,T,0.16687228811678229,-4.353699887415724,-3.4566744514553016,4.848457033948047
PM,WELL,1.1147734074500397,-4.349145954830195,-3.4566744514553016,5.015913780738573
FIX,PWR,0.5146151373589686,-4.3461358541611945,-3.4566744514553016,5.016462122820647
ISRG,T,0.038725750373543824,-4.346131111751614,-3.457105309726321,4.100422813886785
COF,NTRS,0.5113321319090718,-4.344560678290773,-3.4566744514553016,5.014886797337124
CVNA,MTB,0.37890944718799224,-4.342355861106458,-3.457215237265747,5.521045169590217
AXP,TTD,0.5688381039397801,-4.33221894438519,-3.4566744514553016,4.756716625611478
DOC,DUK,4.666073194419286,-4.326149230018051,-3.457105309726321,5.153335776925096
D,RTX,2.580367040421673,-4.3260849419910565,-3.456780859712,4.491141323742284
APO,BKNG,23.636595662705183,-4.3211903107666645,-3.4566744514553016,5.23302633173072
LNT,MAA,2.419288166357312,-4.314591909289528,-3.4569962781990573,8.132835162734677
ADP,SPG,0.5766189874969643,-4.312268768576739,-3.4566744514553016,4.989435534830327
JCI,PWR,4.3178666323138,-4.305483162493692,-3.4569962781990573,5.284882890799561
MAA,MMM,1.486627720657816,-4.304498667954316,-3.4569962781990573,5.840110693859901
BLK,PAYX,0.09211348806967273,-4.295481613003473,-3.4568881317725864,5.219102205088402
NTRS,RCL,3.998081300924453,-4.290431613563805,-3.4566744514553016,5.340301069573059
EVRG,PM,2.9053356736634615,-4.284108067850677,-3.4569962781990573,7.729192797188111
VST,WAB,0.6295135901915887,-4.2823299310708505,-3.4568881317725864,6.863401772557418
DLR,KKR,1.2745942792882832,-4.28232842379145,-3.4566744514553016,5.164240604836808
JCI,WAB,2.4472633721412578,-4.277203784470424,-3.4573260719088132,6.818750872659946
CBRE,SPG,0.7286915650619405,-4.2769861598551735,-3.4566744514553016,5.453471024526833
KEY,RF,1.50585240750548,-4.2742809101729105,-3.4566744514553016,5.070197076879231
AXON,COF,0.13766914512852294,-4.274187483967306,-3.4568881317725864,4.4397199755354295
FICO,ISRG,0.15508598409535573,-4.25862303092896,-3.4566744514553016,5.494349193448167
PNC,RF,0.12744686116267726,-4.249150410864055,-3.4566744514553016,4.948870417751716
EQR,MMM,3.3713590147640007,-4.24633087535613,-3.4566744514553016,5.074124408062965
DTE,MMM,2.4956476818500093,-4.236510091856937,-3.4569962781990573,4.353052238163208
CHRW,VTR,0.5727744296845888,-4.221635093567459,-3.4566744514553016,5.16209822014539
DGX,EVRG,0.41774089745376364,-4.219954195879894,-3.4566744514553016,5.049026680067403
DLR,TPL,5.642379140006769,-4.212721386431955,-3.4566744514553016,5.128162552432309
ALL,CINF,0.8882525756762261,-4.205286794960415,-3.4566744514553016,5.481110981801619
AJG,MCO,1.7283973616194421,-4.202586233388339,-3.4566744514553016,5.423248982946816
CVNA,TRGP,0.5058525554268432,-4.202251410343997,-3.4568881317725864,5.355385243771916
BK,KKR,2.3675362036252254,-4.199643194408772,-3.4566744514553016,5.322140225363033
BLK,NOW,0.23523874200446504,-4.198728101949772,-3.4566744514553016,5.394970212254158
KEY,NDAQ,4.682745077667991,-4.194190076936612,-3.4573260719088132,4.2913966432083965
MMM,PNW,0.38860651738264407,-4.192411315847847,-3.4566744514553016,5.175243792552025
FOXA,ISRG,9.493160272480925,-4.185887689584928,-3.4566744514553016,5.615341458802177
NDAQ,RF,0.3029484603456234,-4.185600387213916,-3.4566744514553016,5.234804982339458
MET,PNR,1.7446902230861214,-4.184889691860449,-3.4566744514553016,5.277959863804774
ARES,AXP,1.7495012259805036,-4.184788070817465,-3.4566744514553016,5.268430639138478
HBAN,NTRS,5.593820972884878,-4.177929495705424,-3.4566744514553016,5.42693976212127
AEE,CBRE,2.1917325343620835,-4.174752071076857,-3.4566744514553016,5.294960811987125
KKR,TTD,0.8223406583309044,-4.171734729079251,-3.4566744514553016,5.142324754005502
HIG,PGR,2.3400883250234576,-4.169150712088739,-3.4566744514553016,5.250430844823991
EIX,MMM,2.814104655952745,-4.167590155395365,-3.4566744514553016,5.0717450714266175
FOXA,SRE,1.1210480382783103,-4.167364085088918,-3.456780859712,6.737913187658034
FRT,PM,2.107367536954569,-4.165649214654942,-3.4566744514553016,5.453108076894332
CMS,MMM,3.9038097560782647,-4.164021858263359,-3.4566744514553016,5.268773955758444
AXON,NOW,0.194263433830625,-4.163207092222402,-3.4566744514553016,5.385862311730623
EVRG,FITB,0.8315439970039269,-4.1574593855579804,-3.4566744514553016,5.3487906241081
DUK,EQR,0.6349815488629258,-4.1571448842178835,-3.4566744514553016,5.281999886005221
TTD,ZBRA,2.407176839628204,-4.153619758848706,-3.456780859712,3.9007020343798886
TRGP,TTD,0.5507853363360853,-4.153254347210102,-3.4566744514553016,5.273020689694472
CVNA,WMB,0.11025105363729529,-4.140992343165906,-3.4566744514553016,4.939366501934711
EBAY,HIG,1.3573615397521186,-4.140904250176297,-3.4566744514553016,5.783160892184753
BX,NOW,1.052415369540955,-4.140413063587257,-3.4566744514553016,5.520955482867528
GDDY,GS,2.2927344002385848,-4.134191186993582,-3.4566744514553016,5.389200101147534
HWM,PPL,0.14044595441585478,-4.132547715008024,-3.4566744514553016,5.9962623815078935
PH,PNR,0.1640607591174088,-4.130708131227186,-3.4566744514553016,5.358398899978546
LNT,TYL,13.717853542617373,-4.127033705343332,-3.4566744514553016,6.1555818359457195
KEY,USB,2.2334910214429446,-4.118440119612777,-3.4566744514553016,5.821382711537211
ISRG,SPG,0.21910251608669243,-4.117381916809845,-3.4566744514553016,5.768989807182252
LNT,WELL,3.1360610928072816,-4.115766796893458,-3.4569962781990573,7.126791623676989
LNT,PM,2.781633731309724,-4.115723909923629,-3.4566744514553016,5.620306761109509
