Pair,Sharpe,Max_DD,Half_Life
PFE-TGT,2.061399867007763,0.03897231571237536,2.0330247935541252
HD-MA,1.7927646063554215,0.04451647612797789,0.7977041772120579
AVGO-JPM,1.683870851971223,0.0855806733595843,1.2244983492816355
